"age_group","date","J12_18","ach_noj","a10_b99_nopneumo","K00_99","E00_99","N00_99","S00_T99","I00_99","E10_14","I60_64","pandemic","G00_99_SY","N39","C00_D48","A41","Z00_99","L00_99","D50_89","M00_99","E40_46","H00_99_SY","K80","Q00_99","cj20_J22","P00_99","K35"
"08_2_29",2013-12-01,339,1.04328041536118,0.755785946793412,0.851288620468236,1.0109836104746,0.993113565723698,1.16297878191617,0.971435382792028,0.862267474036551,1.20027443787581,-0.123564012835717,0.426815522008521,1.00480829903866,1.1785674069892,0.920724584265485,0.984706803673108,0.938566221937585,1.07187097460384,-1.92320502885855,0.798302188568191,1.14167027159746,0.682626649443799,NA,NA,NA,NA
"08_2_29",2014-01-01,413,0.731460426068666,1.33288396855834,0.499515711241881,0.742180645952311,1.20864452995996,0.794230305872889,-0.128980932637597,0.801746724554788,0.645320882010443,-0.123564012835717,0.35995082981847,1.13626474156481,0.924905821627914,1.47053801569908,0.707032109304235,1.02745291439897,0.863401282297814,-2.23686775386373,0.302395961044746,1.37466663698217,0.416985298630104,NA,NA,NA,NA
"08_2_29",2014-02-01,308,0.731460426068666,1.33288396855834,0.499515711241881,0.742180645952311,1.20864452995996,0.794230305872889,-0.128980932637597,0.801746724554788,0.645320882010443,-0.123564012835717,0.35995082981847,1.13626474156481,0.924905821627914,1.47053801569908,0.707032109304235,1.02745291439897,0.863401282297814,-2.23686775386373,0.302395961044746,1.37466663698217,0.416985298630104,NA,NA,NA,NA
"08_2_29",2014-03-01,351,0.731460426068666,1.33288396855834,0.499515711241881,0.742180645952311,1.20864452995996,0.794230305872889,-0.128980932637597,0.801746724554788,0.645320882010443,-0.123564012835717,0.35995082981847,1.13626474156481,0.924905821627914,1.47053801569908,0.707032109304235,1.02745291439897,0.863401282297814,-2.23686775386373,0.302395961044746,1.37466663698217,0.416985298630104,NA,NA,NA,NA
"08_2_29",2014-04-01,373,0.799039592135163,1.22115848958686,1.05776418806448,0.64697229510547,1.24691658306835,1.34856322990093,0.212178045293673,0.659418480349991,1.03931618196495,-0.123564012835717,0.0678725781335079,1.10948702681113,0.911898685169971,0.940845519201169,0.388222461128057,1.06541355386121,0.979231993773486,-1.89317759716004,0.363958145546263,1.03426052319008,0.465117496630017,NA,NA,NA,NA
"08_2_29",2014-05-01,444,0.799039592135163,1.22115848958686,1.05776418806448,0.64697229510547,1.24691658306835,1.34856322990093,0.212178045293673,0.659418480349991,1.03931618196495,-0.123564012835717,0.0678725781335079,1.10948702681113,0.911898685169971,0.940845519201169,0.388222461128057,1.06541355386121,0.979231993773486,-1.89317759716004,0.363958145546263,1.03426052319008,0.465117496630017,NA,NA,NA,NA
"08_2_29",2014-06-01,429,0.799039592135163,1.22115848958686,1.05776418806448,0.64697229510547,1.24691658306835,1.34856322990093,0.212178045293673,0.659418480349991,1.03931618196495,-0.123564012835717,0.0678725781335079,1.10948702681113,0.911898685169971,0.940845519201169,0.388222461128057,1.06541355386121,0.979231993773486,-1.89317759716004,0.363958145546263,1.03426052319008,0.465117496630017,NA,NA,NA,NA
"08_2_29",2014-07-01,480,1.58038995606782,1.99320660192947,1.55320118811541,1.33608147032174,1.36377758492407,1.53875211141381,1.08836871884091,1.64699292429154,1.32668816315508,-0.123564012835717,0.443553859974013,1.05992008347812,1.17786205538067,1.54138989318008,1.31359294700723,1.71597541255356,1.75599868887041,-0.92419426605779,0.351691136964396,1.44004775691902,0.844407362276862,NA,NA,NA,NA
"08_2_29",2014-08-01,459,1.58038995606782,1.99320660192947,1.55320118811541,1.33608147032174,1.36377758492407,1.53875211141381,1.08836871884091,1.64699292429154,1.32668816315508,-0.123564012835717,0.443553859974013,1.05992008347812,1.17786205538067,1.54138989318008,1.31359294700723,1.71597541255356,1.75599868887041,-0.92419426605779,0.351691136964396,1.44004775691902,0.844407362276862,NA,NA,NA,NA
"08_2_29",2014-09-01,369,1.58038995606782,1.99320660192947,1.55320118811541,1.33608147032174,1.36377758492407,1.53875211141381,1.08836871884091,1.64699292429154,1.32668816315508,-0.123564012835717,0.443553859974013,1.05992008347812,1.17786205538067,1.54138989318008,1.31359294700723,1.71597541255356,1.75599868887041,-0.92419426605779,0.351691136964396,1.44004775691902,0.844407362276862,NA,NA,NA,NA
